Game,Year,Host,Developer,Genre,Status,Description,URL,NewsGame
The Curfew ,2010,Channel 4 (UK),Little Loud,Other,Unplayable,Futuristic game that discusses contemporary issues of civil liberties and security in England. ,http://littleloud.com/work/the-curfew/,FALSE
The Redistricting Game ,2007,USC Game Innovation Lab,USC Game Innovation Lab,Strategy,Live,Strategy game that simulates politics involved with redistricting. ,http://www.redistrictinggame.org/ ,FALSE
The Refugee Challenge,2014,UK Guardian,UK Guardian,Choose Your Own Adventure,Live,A multimedia choose-your-own-adventure game where you play a Syrian woman who has to decide whether to take there family to Europe or Turkey for safety.,http://www.theguardian.com/global-development/ng-interactive/2014/jan/refugee-choices-interactive,TRUE
The Republia Times ,2013,Lucas Pope,Lucas Pope,Simulation,Live,Keep public opinion on your side by controlling what content is published in the state newspaper. ,http://dukope.com/play.php?g=trt ,FALSE
The Waffler ,2013,Digital Media First,Digital Media First,Quiz,Live,"Based off of public opinion polls, answer policy questions quickly and see where you rank. ",http://data.digitalfirstmedia.com/the-waffler/ ,TRUE
Think Oakland's deficit is easy to fix? Use this to do it yourself ,2010,Oakland North,Evan Wagstaff,Budgetary,Live,Evan Wagstaff made this deficit balancer for Oakland North in 2010. ,http://oaklandnorth.net/topics/budget-deficit/ ,TRUE
This War of Mine,2014,11 Bit Studios,11 Bit Studios,Survival,Live,Experience war from the perspective of those who suffer most: the civilians trapped in war zones.,http://www.11bitstudios.com/games/16/this-war-of-mine,FALSE
Thoughts and Prayers: The Game,2016,GOP Arcade,GOP Arcade,Other,Live,A satirical game about GOP responses to mass shootings.,http://www.thegoparcade.com/game/thoughts-and-prayers-the-game,FALSE
Trademarksville,2014,Molleindustria,Molleindustria,Other,Live,Try to find names to trademark without colliding with already existing trademarks.,http://tmville.com/,FALSE
Trump Toss,2016,GOP Arcade,GOP Arcade,Puzzle,Live,A satirical game where you play Donald Trump as he tries to deport the right people.,http://www.thegoparcade.com/game/trump-toss,FALSE
Unmanned,2012,Molleindustria,Molleindustria,Choose Your Own Adventure,Live,A day in the life of a drone pilot.,http://unmanned.molleindustria.org/,FALSE
US Political Poetry Generator,2016,Quartz,Quartz,Other,Live,What happens when you mix political rhetoric with actual poetry.,http://qz.com/603650/the-us-political-poetry-generator/,TRUE
We Are Chicago,2016,Culture Shock Games,Culture Shock Games,Adventure,Pending,Soon-to-be-released PC game that will provide a glimpse into the life of a teenager in Chicago's most dangerous neighborhoods. Based on real stories.,http://www.wearechicagogame.com/blog/,FALSE
What Time of Swing Voter Are You? ,2014,Current TV,C.K Hickey,Quiz,Unplayable,Another C.K. Hickey game trying to determine what kind of swing voter you are.,,TRUE
Who's Hurt By the Fiscal Cliff?,2012,New York Times,New York Times,Budgetary,Live,NYT interactive allowing people to explore different scenarios when particular options are on or off the table during US fiscal cliff fiasco. ,http://www.nytimes.com/interactive/2012/12/05/us/politics/fiscal-cliff-game.html ,TRUE
Windfall ,2007,Persuasive Games,Persuasive Games,Simulation,Live,Strategy game that simulates building wind power in an attempt to make it profitable. ,http://www.persuasivegames.com/games/files/windfall/play.html,FALSE
Can you find a place to sleep tonight in San Francisco?,2016,BuzzFeed,BuzzFeed,Choose Your Own Adventure,Live,Fictionalized narrative-driven game where you play a homeless domestic abuse survivor with two kids attempting to find shelter in San Francisco.,https://www.buzzfeed.com/jessicamisener/can-you-find-a-place-to-sleep-tonight,TRUE
Platform,2016,SNDMakes,SNDMakes,Card Game,Live,"Platform is a fast-paced, Creative Commons-licensed card game of swaying undecided voters. John C. Osborn worked on this.",https://snd-platform.herokuapp.com/,FALSE
Hillary 2016,2016,Hillary for America,Hillary for America,Quiz,Live,Mobile game developed by Hillary Clinton campaign where player gets to build up their own campaign HQ while taking Trump quizzes.,https://itunes.apple.com/us/app/hillary-2016/id1115891058?ls=1&mt=8,FALSE
iCivics,2016,iCivics,iCivics,Various,Live,iCivics is a collection of political games aimed to teach kids about the US political process. ,https://www.icivics.org/games,FALSE
Trump's Rampage at the GOP Convention,2016,GOP Arcade,GOP Arcade,Sidescroller,Live,Sidescrolling platformer where you play Trump as he blasts away the GOP party elite.,http://www.thegoparcade.com/game/trumps-convention-rampage,FALSE
